ST_length	        length	            misc,raw,lengthdep
AC_38		AC_38		correlation,autocorrelation
AC_39		AC_39		correlation,autocorrelation
AC_40		AC_40		correlation,autocorrelation
CO_FirstZero_ac	first_zero_ac	correlation,tau,autocorrelation
CO_f1ecac		first_1e_ac		correlation,tau,autocorrelation
CO_FirstMin_ac	first_min_acf	correlation,tau,autocorrelation
AC_nl_12		AC_nl_12		correlation,autocorrelation,nonlinearautocorr
AC_nl_123		AC_nl_123		correlation,autocorrelation,nonlinearautocorr
AC_nl_1234		AC_nl_1234		correlation,autocorrelation,nonlinearautocorr
AC_nl_12345		AC_nl_12345		correlation,autocorrelation,nonlinearautocorr
AC_nl_123456	AC_nl_123456	correlation,autocorrelation,nonlinearautocorr
AC_nl_1234567	AC_nl_1234567	correlation,autocorrelation,nonlinearautocorr
AC_nl_12345678	AC_nl_12345678	correlation,autocorrelation,nonlinearautocorr
AC_nl_13	AC_nl_13	correlation,autocorrelation,nonlinearautocorr
AC_nl_24	AC_nl_24	correlation,autocorrelation,nonlinearautocorr
AC_nl_135	AC_nl_135	correlation,autocorrelation,nonlinearautocorr
AC_nl_246	AC_nl_246	correlation,autocorrelation,nonlinearautocorr
AC_nl_1357	AC_nl_1357	correlation,autocorrelation,nonlinearautocorr
AC_nl_2468	AC_nl_2468	correlation,autocorrelation,nonlinearautocorr
AC_nl_124	AC_nl_124	correlation,autocorrelation,nonlinearautocorr
AC_nl_134	AC_nl_134	correlation,autocorrelation,nonlinearautocorr
AC_nl_14	AC_nl_14	correlation,autocorrelation,nonlinearautocorr
AC_nl_11	AC_nl_11	correlation,autocorrelation,nonlinearautocorr
AC_nl_22	AC_nl_22	correlation,autocorrelation,nonlinearautocorr
AC_nl_33	AC_nl_33	correlation,autocorrelation,nonlinearautocorr
AC_nl_44	AC_nl_44	correlation,autocorrelation,nonlinearautocorr
AC_nl_55	AC_nl_55	correlation,autocorrelation,nonlinearautocorr
AC_nl_66	AC_nl_66	correlation,autocorrelation,nonlinearautocorr
AC_nl_011	AC_nl_011	correlation,autocorrelation,nonlinearautocorr
AC_nl_022	AC_nl_022	correlation,autocorrelation,nonlinearautocorr
AC_nl_033	AC_nl_033	correlation,autocorrelation,nonlinearautocorr
AC_nl_044	AC_nl_044	correlation,autocorrelation,nonlinearautocorr
AC_nl_055	AC_nl_055	correlation,autocorrelation,nonlinearautocorr
AC_nl_066	AC_nl_066	correlation,autocorrelation,nonlinearautocorr
AC_nl_001	AC_nl_001	correlation,autocorrelation,nonlinearautocorr
AC_nl_002	AC_nl_002	correlation,autocorrelation,nonlinearautocorr
AC_nl_003	AC_nl_003	correlation,autocorrelation,nonlinearautocorr
AC_nl_004	AC_nl_004	correlation,autocorrelation,nonlinearautocorr
AC_nl_005	AC_nl_005	correlation,autocorrelation,nonlinearautocorr
AC_nl_006	AC_nl_006	correlation,autocorrelation,nonlinearautocorr
AC_nl_012	AC_nl_012	correlation,autocorrelation,nonlinearautocorr
AC_nl_013	AC_nl_013	correlation,autocorrelation,nonlinearautocorr
AC_nl_023	AC_nl_023	correlation,autocorrelation,nonlinearautocorr
AC_nl_014	AC_nl_014	correlation,autocorrelation,nonlinearautocorr
AC_nl_024	AC_nl_024	correlation,autocorrelation,nonlinearautocorr
AC_nl_034	AC_nl_034	correlation,autocorrelation,nonlinearautocorr
AC_nl_015	AC_nl_015	correlation,autocorrelation,nonlinearautocorr
AC_nl_025	AC_nl_025	correlation,autocorrelation,nonlinearautocorr
AC_nl_035	AC_nl_035	correlation,autocorrelation,nonlinearautocorr
AC_nl_045	AC_nl_045	correlation,autocorrelation,nonlinearautocorr
AC_nl_016	AC_nl_016	correlation,autocorrelation,nonlinearautocorr
AC_nl_026	AC_nl_026	correlation,autocorrelation,nonlinearautocorr
AC_nl_036	AC_nl_036	correlation,autocorrelation,nonlinearautocorr
AC_nl_046	AC_nl_046	correlation,autocorrelation,nonlinearautocorr
AC_nl_056	AC_nl_056	correlation,autocorrelation,nonlinearautocorr
AC_nl_112	AC_nl_112	correlation,autocorrelation,nonlinearautocorr
AC_nl_113	AC_nl_113	correlation,autocorrelation,nonlinearautocorr
