ST_length	        length	            misc,raw,lengthdep
CO_AddNoise_1_even_10.fitexpb	CO_AddNoise_1_even_10_fitexpb	correlation,AMI,entropy
CO_AddNoise_1_even_10.fitexpr2	CO_AddNoise_1_even_10_fitexpr2	correlation,AMI,entropy
CO_AddNoise_1_even_10.fitexprmse	CO_AddNoise_1_even_10_fitexprmse	correlation,AMI,entropy
CO_AddNoise_1_even_10.fitlina	CO_AddNoise_1_even_10_fitlina	correlation,AMI,entropy
CO_AddNoise_1_even_10.fitlinb	CO_AddNoise_1_even_10_fitlinb	correlation,AMI,entropy
CO_AddNoise_1_even_10.linfit_mse	CO_AddNoise_1_even_10_linfit_mse	correlation,AMI,entropy
CO_AddNoise_1_even_10.pcrossmean	CO_AddNoise_1_even_10_pcrossmean	correlation,AMI,entropy
CO_AddNoise_ac_even_10.pdec	CO_AddNoise_ac_even_10_pdec	correlation,AMI,entropy
CO_AddNoise_ac_even_10.meanch	CO_AddNoise_ac_even_10_meanch	correlation,AMI,entropy
CO_AddNoise_ac_even_10.ac1	CO_AddNoise_ac_even_10_ac1	correlation,AMI,entropy
CO_AddNoise_ac_even_10.ac2    CO_AddNoise_ac_even_10_ac2    correlation,AMI,entropy
CO_AddNoise_ac_even_10.firstUnder75    CO_AddNoise_ac_even_10_firstUnder75    correlation,AMI,entropy
CO_AddNoise_ac_even_10.firstUnder50    CO_AddNoise_ac_even_10_firstUnder50    correlation,AMI,entropy
CO_AddNoise_ac_even_10.firstUnder25    CO_AddNoise_ac_even_10_firstUnder25    correlation,AMI,entropy
CO_AddNoise_ac_even_10.ami_at_5    CO_AddNoise_ac_even_10_ami_at_5    correlation,AMI,entropy
CO_AddNoise_ac_even_10.ami_at_10    CO_AddNoise_ac_even_10_ami_at_10    correlation,AMI,entropy
CO_AddNoise_ac_even_10.ami_at_15    CO_AddNoise_ac_even_10_ami_at_15    correlation,AMI,entropy
CO_AddNoise_ac_even_10.ami_at_20    CO_AddNoise_ac_even_10_ami_at_20    correlation,AMI,entropy
CO_AddNoise_ac_even_10.fitexpa	CO_AddNoise_ac_even_10_fitexpa	correlation,AMI,entropy
CO_AddNoise_ac_even_10.fitexpb	CO_AddNoise_ac_even_10_fitexpb	correlation,AMI,entropy
CO_AddNoise_ac_even_10.fitexpr2	CO_AddNoise_ac_even_10_fitexpr2	correlation,AMI,entropy
CO_AddNoise_ac_even_10.fitexprmse	CO_AddNoise_ac_even_10_fitexprmse	correlation,AMI,entropy
CO_AddNoise_ac_even_10.fitlina	CO_AddNoise_ac_even_10_fitlina	correlation,AMI,entropy
CO_AddNoise_ac_even_10.fitlinb	CO_AddNoise_ac_even_10_fitlinb	correlation,AMI,entropy
CO_AddNoise_ac_even_10.linfit_mse	CO_AddNoise_ac_even_10_linfit_mse	correlation,AMI,entropy
CO_AddNoise_ac_even_10.pcrossmean	CO_AddNoise_ac_even_10_pcrossmean	correlation,AMI,entropy
CO_AddNoise_1_std1_10.pdec    CO_AddNoise_1_std1_10_pdec    correlation,AMI,entropy
CO_AddNoise_1_std1_10.meanch    CO_AddNoise_1_std1_10_meanch    correlation,AMI,entropy
CO_AddNoise_1_std1_10.ac1    CO_AddNoise_1_std1_10_ac1    correlation,AMI,entropy
CO_AddNoise_1_std1_10.ac2    CO_AddNoise_1_std1_10_ac2    correlation,AMI,entropy
CO_AddNoise_1_std1_10.firstUnder75    CO_AddNoise_1_std1_10_firstUnder75    correlation,AMI,entropy
CO_AddNoise_1_std1_10.firstUnder50    CO_AddNoise_1_std1_10_firstUnder50    correlation,AMI,entropy
CO_AddNoise_1_std1_10.firstUnder25    CO_AddNoise_1_std1_10_firstUnder25    correlation,AMI,entropy
CO_AddNoise_1_std1_10.ami_at_5    CO_AddNoise_1_std1_10_ami_at_5    correlation,AMI,entropy
CO_AddNoise_1_std1_10.ami_at_10    CO_AddNoise_1_std1_10_ami_at_10    correlation,AMI,entropy
CO_AddNoise_1_std1_10.ami_at_15    CO_AddNoise_1_std1_10_ami_at_15    correlation,AMI,entropy
CO_AddNoise_1_std1_10.ami_at_20    CO_AddNoise_1_std1_10_ami_at_20    correlation,AMI,entropy
CO_AddNoise_1_std1_10.fitexpa    CO_AddNoise_1_std1_10_fitexpa    correlation,AMI,entropy
CO_AddNoise_1_std1_10.fitexpb    CO_AddNoise_1_std1_10_fitexpb    correlation,AMI,entropy
CO_AddNoise_1_std1_10.fitexpr2    CO_AddNoise_1_std1_10_fitexpr2    correlation,AMI,entropy
CO_AddNoise_1_std1_10.fitexprmse    CO_AddNoise_1_std1_10_fitexprmse    correlation,AMI,entropy
CO_AddNoise_1_std1_10.fitlina    CO_AddNoise_1_std1_10_fitlina    correlation,AMI,entropy
CO_AddNoise_1_std1_10.fitlinb    CO_AddNoise_1_std1_10_fitlinb    correlation,AMI,entropy
CO_AddNoise_1_std1_10.linfit_mse    CO_AddNoise_1_std1_10_linfit_mse    correlation,AMI,entropy
CO_AddNoise_1_std1_10.pcrossmean    CO_AddNoise_1_std1_10_pcrossmean    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.pdec    CO_AddNoise_ac_std1_10_pdec    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.meanch    CO_AddNoise_ac_std1_10_meanch    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.ac1    CO_AddNoise_ac_std1_10_ac1    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.ac2    CO_AddNoise_ac_std1_10_ac2    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.firstUnder75    CO_AddNoise_ac_std1_10_firstUnder75    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.firstUnder50    CO_AddNoise_ac_std1_10_firstUnder50    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.firstUnder25    CO_AddNoise_ac_std1_10_firstUnder25    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.ami_at_5    CO_AddNoise_ac_std1_10_ami_at_5    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.ami_at_10    CO_AddNoise_ac_std1_10_ami_at_10    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.ami_at_15    CO_AddNoise_ac_std1_10_ami_at_15    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.ami_at_20    CO_AddNoise_ac_std1_10_ami_at_20    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.fitexpa    CO_AddNoise_ac_std1_10_fitexpa    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.fitexpb    CO_AddNoise_ac_std1_10_fitexpb    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.fitexpr2    CO_AddNoise_ac_std1_10_fitexpr2    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.fitexprmse    CO_AddNoise_ac_std1_10_fitexprmse    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.fitlina    CO_AddNoise_ac_std1_10_fitlina    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.fitlinb    CO_AddNoise_ac_std1_10_fitlinb    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.linfit_mse    CO_AddNoise_ac_std1_10_linfit_mse    correlation,AMI,entropy
CO_AddNoise_ac_std1_10.pcrossmean    CO_AddNoise_ac_std1_10_pcrossmean    correlation,AMI,entropy
CO_AddNoise_1_gaussian.pdec	CO_AddNoise_1_gaussian_pdec	correlation,AMI,entropy
CO_AddNoise_1_gaussian.ac1	CO_AddNoise_1_gaussian_ac1	correlation,AMI,entropy
CO_AddNoise_1_gaussian.ac2    CO_AddNoise_1_gaussian_ac2    correlation,AMI,entropy
CO_AddNoise_1_gaussian.firstUnder75    CO_AddNoise_1_gaussian_firstUnder75    correlation,AMI,entropy
CO_AddNoise_1_gaussian.firstUnder50    CO_AddNoise_1_gaussian_firstUnder50    correlation,AMI,entropy
CO_AddNoise_1_gaussian.firstUnder25    CO_AddNoise_1_gaussian_firstUnder25    correlation,AMI,entropy
CO_AddNoise_1_gaussian.ami_at_5    CO_AddNoise_1_gaussian_ami_at_5    correlation,AMI,entropy
CO_AddNoise_1_gaussian.ami_at_10    CO_AddNoise_1_gaussian_ami_at_10    correlation,AMI,entropy
CO_AddNoise_1_gaussian.ami_at_15    CO_AddNoise_1_gaussian_ami_at_15    correlation,AMI,entropy
CO_AddNoise_1_gaussian.ami_at_20    CO_AddNoise_1_gaussian_ami_at_20    correlation,AMI,entropy
CO_AddNoise_1_gaussian.fitexpa	CO_AddNoise_1_gaussian_fitexpa	correlation,AMI,entropy
CO_AddNoise_1_gaussian.fitexpb	CO_AddNoise_1_gaussian_fitexpb	correlation,AMI,entropy
CO_AddNoise_1_gaussian.fitexpr2	CO_AddNoise_1_gaussian_fitexpr2	correlation,AMI,entropy
CO_AddNoise_1_gaussian.fitexprmse	CO_AddNoise_1_gaussian_fitexprmse	correlation,AMI,entropy
CO_AddNoise_1_gaussian.fitlina	CO_AddNoise_1_gaussian_fitlina	correlation,AMI,entropy
CO_AddNoise_1_gaussian.fitlinb	CO_AddNoise_1_gaussian_fitlinb	correlation,AMI,entropy
CO_AddNoise_1_gaussian.linfit_mse	CO_AddNoise_1_gaussian_linfit_mse	correlation,AMI,entropy
CO_AddNoise_1_gaussian.pcrossmean	CO_AddNoise_1_gaussian_pcrossmean	correlation,AMI,entropy
CO_AddNoise_ac_gaussian.pdec	CO_AddNoise_ac_gaussian_pdec	correlation,AMI,entropy
CO_AddNoise_ac_gaussian.meanch	CO_AddNoise_ac_gaussian_meanch	correlation,AMI,entropy
CO_AddNoise_ac_gaussian.ac1	CO_AddNoise_ac_gaussian_ac1	correlation,AMI,entropy
CO_AddNoise_ac_gaussian.ac2    CO_AddNoise_ac_gaussian_ac2    correlation,AMI,entropy
CO_AddNoise_ac_gaussian.firstUnder75    CO_AddNoise_ac_gaussian_firstUnder75    correlation,AMI,entropy
CO_AddNoise_ac_gaussian.firstUnder50    CO_AddNoise_ac_gaussian_firstUnder50    correlation,AMI,entropy
CO_AddNoise_ac_gaussian.firstUnder25    CO_AddNoise_ac_gaussian_firstUnder25    correlation,AMI,entropy
CO_AddNoise_ac_gaussian.ami_at_5    CO_AddNoise_ac_gaussian_ami_at_5    correlation,AMI,entropy
CO_AddNoise_ac_gaussian.ami_at_10    CO_AddNoise_ac_gaussian_ami_at_10    correlation,AMI,entropy
CO_AddNoise_ac_gaussian.ami_at_15    CO_AddNoise_ac_gaussian_ami_at_15    correlation,AMI,entropy
CO_AddNoise_ac_gaussian.ami_at_20    CO_AddNoise_ac_gaussian_ami_at_20    correlation,AMI,entropy
CO_AddNoise_ac_gaussian.fitexpa	CO_AddNoise_ac_gaussian_fitexpa	correlation,AMI,entropy
CO_AddNoise_ac_gaussian.fitexpb	CO_AddNoise_ac_gaussian_fitexpb	correlation,AMI,entropy
CO_AddNoise_ac_gaussian.fitexpr2	CO_AddNoise_ac_gaussian_fitexpr2	correlation,AMI,entropy
CO_AddNoise_ac_gaussian.fitexprmse	CO_AddNoise_ac_gaussian_fitexprmse	correlation,AMI,entropy
CO_AddNoise_ac_gaussian.fitlina	CO_AddNoise_ac_gaussian_fitlina	correlation,AMI,entropy
CO_AddNoise_ac_gaussian.fitlinb	CO_AddNoise_ac_gaussian_fitlinb	correlation,AMI,entropy
CO_AddNoise_ac_gaussian.linfit_mse	CO_AddNoise_ac_gaussian_linfit_mse	correlation,AMI,entropy
CO_AddNoise_ac_gaussian.pcrossmean	CO_AddNoise_ac_gaussian_pcrossmean	correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.pdec	CO_AddNoise_1_kraskov1_4_pdec	correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.meanch	CO_AddNoise_1_kraskov1_4_meanch	correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.ac1	CO_AddNoise_1_kraskov1_4_ac1	correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.ac2    CO_AddNoise_1_kraskov1_4_ac2    correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.firstUnder75    CO_AddNoise_1_kraskov1_4_firstUnder75    correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.firstUnder50    CO_AddNoise_1_kraskov1_4_firstUnder50    correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.firstUnder25    CO_AddNoise_1_kraskov1_4_firstUnder25    correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.ami_at_5    CO_AddNoise_1_kraskov1_4_ami_at_5    correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.ami_at_10    CO_AddNoise_1_kraskov1_4_ami_at_10    correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.ami_at_15    CO_AddNoise_1_kraskov1_4_ami_at_15    correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.ami_at_20    CO_AddNoise_1_kraskov1_4_ami_at_20    correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.fitexpa	CO_AddNoise_1_kraskov1_4_fitexpa	correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.fitexpb	CO_AddNoise_1_kraskov1_4_fitexpb	correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.fitexpr2	CO_AddNoise_1_kraskov1_4_fitexpr2	correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.fitexprmse	CO_AddNoise_1_kraskov1_4_fitexprmse	correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.fitlina	CO_AddNoise_1_kraskov1_4_fitlina	correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.fitlinb	CO_AddNoise_1_kraskov1_4_fitlinb	correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.linfit_mse	CO_AddNoise_1_kraskov1_4_linfit_mse	correlation,AMI,entropy
CO_AddNoise_1_kraskov1_4.pcrossmean	CO_AddNoise_1_kraskov1_4_pcrossmean	correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.pdec	CO_AddNoise_ac_kraskov1_4_pdec	correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.meanch	CO_AddNoise_ac_kraskov1_4_meanch	correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.ac1	CO_AddNoise_ac_kraskov1_4_ac1	correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.ac2    CO_AddNoise_ac_kraskov1_4_ac2    correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.firstUnder75    CO_AddNoise_ac_kraskov1_4_firstUnder75    correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.firstUnder50    CO_AddNoise_ac_kraskov1_4_firstUnder50    correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.firstUnder25    CO_AddNoise_ac_kraskov1_4_firstUnder25    correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.ami_at_5    CO_AddNoise_ac_kraskov1_4_ami_at_5    correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.ami_at_10    CO_AddNoise_ac_kraskov1_4_ami_at_10    correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.ami_at_15    CO_AddNoise_ac_kraskov1_4_ami_at_15    correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.ami_at_20    CO_AddNoise_ac_kraskov1_4_ami_at_20    correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.fitexpa	CO_AddNoise_ac_kraskov1_4_fitexpa	correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.fitexpb	CO_AddNoise_ac_kraskov1_4_fitexpb	correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.fitexpr2	CO_AddNoise_ac_kraskov1_4_fitexpr2	correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.fitexprmse	CO_AddNoise_ac_kraskov1_4_fitexprmse	correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.fitlina	CO_AddNoise_ac_kraskov1_4_fitlina	correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.fitlinb	CO_AddNoise_ac_kraskov1_4_fitlinb	correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.linfit_mse	CO_AddNoise_ac_kraskov1_4_linfit_mse	correlation,AMI,entropy
CO_AddNoise_ac_kraskov1_4.pcrossmean	CO_AddNoise_ac_kraskov1_4_pcrossmean	correlation,AMI,entropy
CO_AutoCorrShape_drown.Nac	CO_AutoCorrShape_drown_Nac	correlation
CO_AutoCorrShape_drown.nminima	CO_AutoCorrShape_drown_nminima	correlation
CO_AutoCorrShape_drown.meanminima	CO_AutoCorrShape_drown_meanminima	correlation
CO_AutoCorrShape_drown.meanmaxima	CO_AutoCorrShape_drown_meanmaxima	correlation
CO_AutoCorrShape_drown.pextrema	CO_AutoCorrShape_drown_pextrema	correlation
CO_AutoCorrShape_drown.meanacf	CO_AutoCorrShape_drown_meanacf	correlation
CO_AutoCorrShape_drown.meanabsacf	CO_AutoCorrShape_drown_meanabsacf	correlation
CO_AutoCorrShape_drown.ac1	CO_AutoCorrShape_drown_ac1	correlation
CO_AutoCorrShape_drown.actau	CO_AutoCorrShape_drown_actau	correlation
CO_AutoCorrShape_drown.fexpabsacf_a	CO_AutoCorrShape_drown_fexpabsacf_a	correlation
CO_AutoCorrShape_drown.fexpabsacf_b	CO_AutoCorrShape_drown_fexpabsacf_b	correlation
CO_AutoCorrShape_drown.fexpabsacf_r2	CO_AutoCorrShape_drown_fexpabsacf_r2	correlation
CO_AutoCorrShape_drown.fexpabsacf_stdres	CO_AutoCorrShape_drown_fexpabsacf_stdres	correlation
CO_Embed2_Basic_1.updiag01	CO_Embed2_Basic_1_updiag01	correlation
CO_Embed2_Basic_1.updiag05	CO_Embed2_Basic_1_updiag05	correlation
CO_Embed2_Basic_1.downdiag01	CO_Embed2_Basic_1_downdiag01	correlation
CO_Embed2_Basic_1.downdiag05	CO_Embed2_Basic_1_downdiag05	correlation
CO_Embed2_Basic_1.ratdiag01	CO_Embed2_Basic_1_ratdiag01	correlation
CO_Embed2_Basic_1.ratdiag05	CO_Embed2_Basic_1_ratdiag05	correlation
CO_Embed2_Basic_1.parabup01	CO_Embed2_Basic_1_parabup01	correlation
CO_Embed2_Basic_1.parabup05	CO_Embed2_Basic_1_parabup05	correlation
CO_Embed2_Basic_1.parabdown01	CO_Embed2_Basic_1_parabdown01	correlation
CO_Embed2_Basic_1.parabdown05	CO_Embed2_Basic_1_parabdown05	correlation
CO_Embed2_Basic_1.parabup01_1	CO_Embed2_Basic_1_parabup01_1	correlation
CO_Embed2_Basic_1.parabup05_1	CO_Embed2_Basic_1_parabup05_1	correlation
CO_Embed2_Basic_1.parabdown01_1	CO_Embed2_Basic_1_parabdown01_1	correlation
CO_Embed2_Basic_1.parabdown05_1	CO_Embed2_Basic_1_parabdown05_1	correlation
CO_Embed2_Basic_1.parabup01_n1	CO_Embed2_Basic_1_parabup01_n1	correlation
CO_Embed2_Basic_1.parabup05_n1	CO_Embed2_Basic_1_parabup05_n1	correlation
CO_Embed2_Basic_1.parabdown01_n1	CO_Embed2_Basic_1_parabdown01_n1	correlation
CO_Embed2_Basic_1.parabdown05_n1	CO_Embed2_Basic_1_parabdown05_n1	correlation
CO_Embed2_Basic_1.ring1_01	CO_Embed2_Basic_1_ring1_01	correlation
CO_Embed2_Basic_1.ring1_02	CO_Embed2_Basic_1_ring1_02	correlation
CO_Embed2_Basic_1.ring1_05	CO_Embed2_Basic_1_ring1_05	correlation
CO_Embed2_Basic_1.incircle_01	CO_Embed2_Basic_1_incircle_01	correlation
CO_Embed2_Basic_1.incircle_02	CO_Embed2_Basic_1_incircle_02	correlation
CO_Embed2_Basic_1.incircle_05	CO_Embed2_Basic_1_incircle_05	correlation
CO_Embed2_Basic_1.incircle_1	CO_Embed2_Basic_1_incircle_1	correlation
CO_Embed2_Basic_1.incircle_2	CO_Embed2_Basic_1_incircle_2	correlation
CO_Embed2_Basic_1.incircle_3	CO_Embed2_Basic_1_incircle_3	correlation
CO_Embed2_Basic_1.medianincircle	CO_Embed2_Basic_1_medianincircle	correlation
CO_Embed2_Basic_1.stdincircle	CO_Embed2_Basic_1_stdincircle	correlation
CO_Embed2_Basic_tau.updiag01	CO_Embed2_Basic_tau_updiag01	correlation
CO_Embed2_Basic_tau.updiag05	CO_Embed2_Basic_tau_updiag05	correlation
CO_Embed2_Basic_tau.downdiag01	CO_Embed2_Basic_tau_downdiag01	correlation
CO_Embed2_Basic_tau.downdiag05	CO_Embed2_Basic_tau_downdiag05	correlation
CO_Embed2_Basic_tau.ratdiag01	CO_Embed2_Basic_tau_ratdiag01	correlation
CO_Embed2_Basic_tau.ratdiag05	CO_Embed2_Basic_tau_ratdiag05	correlation
CO_Embed2_Basic_tau.parabup01	CO_Embed2_Basic_tau_parabup01	correlation
CO_Embed2_Basic_tau.parabup05	CO_Embed2_Basic_tau_parabup05	correlation
CO_Embed2_Basic_tau.parabdown01	CO_Embed2_Basic_tau_parabdown01	correlation
CO_Embed2_Basic_tau.parabdown05	CO_Embed2_Basic_tau_parabdown05	correlation
CO_Embed2_Basic_tau.parabup01_1	CO_Embed2_Basic_tau_parabup01_1	correlation
CO_Embed2_Basic_tau.parabup05_1	CO_Embed2_Basic_tau_parabup05_1	correlation
CO_Embed2_Basic_tau.parabdown01_1	CO_Embed2_Basic_tau_parabdown01_1	correlation
CO_Embed2_Basic_tau.parabdown05_1	CO_Embed2_Basic_tau_parabdown05_1	correlation
CO_Embed2_Basic_tau.parabup01_n1	CO_Embed2_Basic_tau_parabup01_n1	correlation
CO_Embed2_Basic_tau.parabup05_n1	CO_Embed2_Basic_tau_parabup05_n1	correlation
CO_Embed2_Basic_tau.parabdown01_n1	CO_Embed2_Basic_tau_parabdown01_n1	correlation
CO_Embed2_Basic_tau.parabdown05_n1	CO_Embed2_Basic_tau_parabdown05_n1	correlation
CO_Embed2_Basic_tau.ring1_01	CO_Embed2_Basic_tau_ring1_01	correlation
CO_Embed2_Basic_tau.ring1_02	CO_Embed2_Basic_tau_ring1_02	correlation
CO_Embed2_Basic_tau.ring1_05	CO_Embed2_Basic_tau_ring1_05	correlation
CO_Embed2_Basic_tau.incircle_01	CO_Embed2_Basic_tau_incircle_01	correlation
CO_Embed2_Basic_tau.incircle_02	CO_Embed2_Basic_tau_incircle_02	correlation
CO_Embed2_Basic_tau.incircle_05	CO_Embed2_Basic_tau_incircle_05	correlation
CO_Embed2_Basic_tau.incircle_1	CO_Embed2_Basic_tau_incircle_1	correlation
CO_Embed2_Basic_tau.incircle_2	CO_Embed2_Basic_tau_incircle_2	correlation
CO_Embed2_Basic_tau.incircle_3	CO_Embed2_Basic_tau_incircle_3	correlation
CO_Embed2_Basic_tau.medianincircle	CO_Embed2_Basic_tau_medianincircle	correlation
CO_Embed2_Basic_tau.stdincircle	CO_Embed2_Basic_tau_stdincircle	correlation
PD_PeriodicityWang.th1	PD_PeriodicityWang_th0	periodicity,spline
PD_PeriodicityWang.th2	PD_PeriodicityWang_th0.01	periodicity,spline
PD_PeriodicityWang.th3	PD_PeriodicityWang_th0.1	periodicity,spline
PD_PeriodicityWang.th4	PD_PeriodicityWang_th0.2	periodicity,spline
PD_PeriodicityWang.th5	PD_PeriodicityWang_th1_sqrtN	periodicity,spline
PD_PeriodicityWang.th6	PD_PeriodicityWang_th5_sqrtN	periodicity,spline
PD_PeriodicityWang.th7	PD_PeriodicityWang_th10_sqrtN	periodicity,spline
DN_RemovePoints_absclose_01.fzcacrat	DN_RemovePoints_absclose_01_fzcacrat	correlation,outliers
DN_RemovePoints_absclose_01.ac2rat	DN_RemovePoints_absclose_01_ac2rat	correlation,outliers
DN_RemovePoints_absclose_01.ac2diff	DN_RemovePoints_absclose_01_ac2diff	correlation,outliers
DN_RemovePoints_absclose_01.ac3rat	DN_RemovePoints_absclose_01_ac3rat	correlation,outliers
DN_RemovePoints_absclose_01.ac3diff	DN_RemovePoints_absclose_01_ac3diff	correlation,outliers
DN_RemovePoints_absclose_01.sumabsacfdiff	DN_RemovePoints_absclose_01_sumabsacfdiff	correlation,outliers
DN_RemovePoints_absclose_01.mean	DN_RemovePoints_absclose_01_mean	correlation,outliers
DN_RemovePoints_absclose_01.median	DN_RemovePoints_absclose_01_median	correlation,outliers
DN_RemovePoints_absclose_01.std	DN_RemovePoints_absclose_01_std	correlation,outliers
DN_RemovePoints_absclose_01.skewnessrat	DN_RemovePoints_absclose_01_skewnessrat	correlation,outliers,distribution
DN_RemovePoints_absclose_01.kurtosisrat	DN_RemovePoints_absclose_01_kurtosisrat	correlation,outliers,distribution
DN_RemovePoints_absclose_05.fzcacrat	DN_RemovePoints_absclose_05_fzcacrat	correlation,outliers
DN_RemovePoints_absclose_05.ac2rat	DN_RemovePoints_absclose_05_ac2rat	correlation,outliers
DN_RemovePoints_absclose_05.ac2diff	DN_RemovePoints_absclose_05_ac2diff	correlation,outliers
DN_RemovePoints_absclose_05.ac3rat	DN_RemovePoints_absclose_05_ac3rat	correlation,outliers
DN_RemovePoints_absclose_05.ac3diff	DN_RemovePoints_absclose_05_ac3diff	correlation,outliers
DN_RemovePoints_absclose_05.sumabsacfdiff	DN_RemovePoints_absclose_05_sumabsacfdiff	correlation,outliers
DN_RemovePoints_absclose_05.mean	DN_RemovePoints_absclose_05_mean	correlation,outliers
DN_RemovePoints_absclose_05.median	DN_RemovePoints_absclose_05_median	correlation,outliers
DN_RemovePoints_absclose_05.std	DN_RemovePoints_absclose_05_std	correlation,outliers
DN_RemovePoints_absclose_05.skewnessrat	DN_RemovePoints_absclose_05_skewnessrat	correlation,outliers,distribution
DN_RemovePoints_absclose_05.kurtosisrat	DN_RemovePoints_absclose_05_kurtosisrat	correlation,outliers,distribution
DN_RemovePoints_absclose_08.fzcacrat	DN_RemovePoints_absclose_08_fzcacrat	correlation,outliers
DN_RemovePoints_absclose_08.ac2rat	DN_RemovePoints_absclose_08_ac2rat	correlation,outliers
DN_RemovePoints_absclose_08.ac2diff	DN_RemovePoints_absclose_08_ac2diff	correlation,outliers
DN_RemovePoints_absclose_08.ac3rat	DN_RemovePoints_absclose_08_ac3rat	correlation,outliers
DN_RemovePoints_absclose_08.ac3diff	DN_RemovePoints_absclose_08_ac3diff	correlation,outliers
DN_RemovePoints_absclose_08.sumabsacfdiff	DN_RemovePoints_absclose_08_sumabsacfdiff	correlation,outliers
DN_RemovePoints_absclose_08.mean	DN_RemovePoints_absclose_08_mean	correlation,outliers
DN_RemovePoints_absclose_08.median	DN_RemovePoints_absclose_08_median	correlation,outliers
DN_RemovePoints_absclose_08.std	DN_RemovePoints_absclose_08_std	correlation,outliers
DN_RemovePoints_absclose_08.skewnessrat	DN_RemovePoints_absclose_08_skewnessrat	correlation,outliers,distribution
DN_RemovePoints_absclose_08.kurtosisrat	DN_RemovePoints_absclose_08_kurtosisrat	correlation,outliers,distribution
DN_RemovePoints_absfar_08.skewnessrat	DN_RemovePoints_absfar_08_skewnessrat	correlation,outliers,distribution
DN_RemovePoints_absfar_08.kurtosisrat	DN_RemovePoints_absfar_08_kurtosisrat	correlation,outliers,distribution
DN_RemovePoints_min_01.fzcacrat	DN_RemovePoints_min_01_fzcacrat	correlation,outliers
DN_RemovePoints_min_01.ac2rat	DN_RemovePoints_min_01_ac2rat	correlation,outliers
DN_RemovePoints_min_01.ac2diff	DN_RemovePoints_min_01_ac2diff	correlation,outliers
DN_RemovePoints_min_01.ac3rat	DN_RemovePoints_min_01_ac3rat	correlation,outliers
DN_RemovePoints_min_01.ac3diff	DN_RemovePoints_min_01_ac3diff	correlation,outliers
DN_RemovePoints_min_01.sumabsacfdiff	DN_RemovePoints_min_01_sumabsacfdiff	correlation,outliers
DN_RemovePoints_min_01.mean	DN_RemovePoints_min_01_mean	correlation,outliers
DN_RemovePoints_min_01.std	DN_RemovePoints_min_01_std	correlation,outliers
